id,name,account_id,Account_status,business_name,id_dev,label_status,Balance,create_date,age,createdAt,updatedAt
28,Setin - Campanhas lojas,580369803544449,1,SEI INCORPORACAO E PARTICIPACOES S.A.,act_580369803544449,ACTIVE,0,2022-07-11T14:36:08.000Z,1230,2025-12-16T20:22:23.583Z,2025-12-17T19:09:04.346Z
29,Opens [OFICIAL],670706344801465,1,OPENS TECNOLOGIA LTDA,act_670706344801465,ACTIVE,1056.13,2022-11-18T18:38:24.000Z,769,2025-12-16T20:22:23.599Z,2025-12-17T19:09:04.367Z
30,Lecieza - Nova 2025,669714751117515,1,LANOSSI S.A.,act_669714751117515,ACTIVE,589.29,2022-10-18T15:23:39.000Z,35,2025-12-16T20:22:23.614Z,2025-12-17T19:09:04.394Z
31,XCMG - Âncora,697159231903745,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_697159231903745,ACTIVE,2697.74,2023-02-02T13:21:50.000Z,996,2025-12-16T20:22:23.628Z,2025-12-17T19:09:04.415Z
32,Consórcio Metalesp,1408017063341079,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_1408017063341079,ACTIVE,0,2023-02-02T13:17:59.000Z,974,2025-12-16T20:22:23.643Z,2025-12-17T19:09:04.436Z
33,Âncora Motos - BMW,174423542260955,1,OUROSTAR NEGOCIOS E SERVICOS ADMINISTRATIVOS LTDA.,act_174423542260955,ACTIVE,2772.84,2023-06-01T21:04:18.000Z,918,2025-12-16T20:22:23.656Z,2025-12-17T19:09:04.454Z
34,Consórcio Nacional Olivo - Desativada,117616641345366,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_117616641345366,ACTIVE,0,2023-06-23T12:51:06.000Z,890,2025-12-16T20:22:23.675Z,2025-12-17T19:09:04.473Z
35,Âncora Carros,257872323752983,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_257872323752983,ACTIVE,0,2023-08-29T18:42:26.000Z,827,2025-12-16T20:22:23.688Z,2025-12-17T19:09:04.500Z
36,CKB - Desativada / Setembro,979522833388568,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_979522833388568,ACTIVE,0,2023-07-18T18:33:45.000Z,882,2025-12-16T20:22:23.703Z,2025-12-17T19:09:04.527Z
37,Thais Lemes,3482798858604677,1,Thais Lemes Psicóloga,act_3482798858604677,ACTIVE,0,2023-09-29T12:56:12.000Z,0,2025-12-16T20:22:23.718Z,2025-12-17T19:09:04.552Z
38,Âncora Carros - GM / BYD,1430138927887162,1,OUROSTAR NEGOCIOS E SERVICOS ADMINISTRATIVOS LTDA.,act_1430138927887162,ACTIVE,2986.76,2024-01-19T16:21:07.000Z,667,2025-12-16T20:22:23.730Z,2025-12-17T19:09:04.572Z
39,Yanmar Consórcio Nacional,402757808996726,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_402757808996726,ACTIVE,1726.95,2024-02-01T12:11:00.000Z,680,2025-12-16T20:22:23.743Z,2025-12-17T19:09:04.603Z
40,YAMAHA MOTOS,3639067629694215,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_3639067629694215,ACTIVE,0,2024-01-12T13:18:35.000Z,701,2025-12-16T20:22:23.759Z,2025-12-17T19:09:04.635Z
41,Dafra Consórcios,3588338488149437,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_3588338488149437,ACTIVE,255.01,2024-01-05T18:11:10.000Z,711,2025-12-16T20:22:23.773Z,2025-12-17T19:09:04.660Z
42,Âncora  - Ourostar,221019194362053,1,OUROSTAR NEGOCIOS E SERVICOS ADMINISTRATIVOS LTDA,act_221019194362053,ACTIVE,0,2024-02-20T13:11:43.000Z,652,2025-12-16T20:22:23.785Z,2025-12-17T19:09:04.689Z
43,HYUNDAI,1297906217556504,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_1297906217556504,ACTIVE,0,2024-01-15T20:01:16.000Z,701,2025-12-16T20:22:23.797Z,2025-12-17T19:09:04.714Z
44,Consórcio Nacional Olivo - Nova,693079132735556,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_693079132735556,ACTIVE,0,2024-02-20T18:09:54.000Z,665,2025-12-16T20:22:23.807Z,2025-12-17T19:09:04.734Z
45,VOLVO,284526537942266,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_284526537942266,ACTIVE,0,2024-01-05T14:39:17.000Z,708,2025-12-16T20:22:23.817Z,2025-12-17T19:09:04.755Z
46,SHINERAY,443608998003816,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_443608998003816,ACTIVE,7187.24,2024-03-06T19:44:53.000Z,646,2025-12-16T20:22:23.831Z,2025-12-17T19:09:04.778Z
47,CKB Espelho,1921545958301893,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_1921545958301893,ACTIVE,1287.73,2024-02-19T18:59:01.000Z,666,2025-12-16T20:22:23.845Z,2025-12-17T19:09:04.800Z
48,[Kobe] Consórcio,1433854707230761,1,BUDA CONCESSIONARIA DE MOTOS LTDA,act_1433854707230761,ACTIVE,0,2024-04-05T14:30:11.000Z,603,2025-12-16T20:22:23.855Z,2025-12-17T19:09:04.820Z
49,IVECO,1337391400289820,1,OUROSTAR NEGOCIOS E SERVICOS ADMINISTRATIVOS LTDA.,act_1337391400289820,ACTIVE,0,2024-03-27T15:37:57.000Z,624,2025-12-16T20:22:23.869Z,2025-12-17T19:09:04.840Z
50,Bajaj,7922534767784477,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_7922534767784477,ACTIVE,9967.82,2024-07-10T17:29:48.000Z,522,2025-12-16T20:22:23.882Z,2025-12-17T19:09:04.860Z
51,Consórcio CF MOTO,487866263610790,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_487866263610790,ACTIVE,0,2024-06-26T19:45:02.000Z,533,2025-12-16T20:22:23.898Z,2025-12-17T19:09:04.884Z
52,Fun Motors,3939330069686264,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_3939330069686264,ACTIVE,0,2024-06-26T19:42:45.000Z,533,2025-12-16T20:22:23.912Z,2025-12-17T19:09:04.908Z
53,Consórcio Nacional Pastre,2736406629854068,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_2736406629854068,ACTIVE,0,2024-06-21T19:33:28.000Z,533,2025-12-16T20:22:23.926Z,2025-12-17T19:09:04.930Z
54,Âncora Pesados,1712832262854950,1,OUROSTAR NEGOCIOS E SERVICOS ADMINISTRATIVOS LTDA.,act_1712832262854950,ACTIVE,0,2024-06-20T20:15:26.000Z,533,2025-12-16T20:22:23.942Z,2025-12-17T19:09:04.957Z
55,Âncora Consórcios Institucional (boleto),411528714968388,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_411528714968388,ACTIVE,0,2024-04-17T14:31:36.000Z,604,2025-12-16T20:22:23.955Z,2025-12-17T19:09:04.979Z
56,GOTTI,807938371400425,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_807938371400425,ACTIVE,0,2024-06-11T19:33:22.000Z,553,2025-12-16T20:22:23.969Z,2025-12-17T19:09:04.999Z
57,Âncora Imóveis Premium,1890982217981364,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_1890982217981364,ACTIVE,725.54,2024-08-02T18:51:35.000Z,501,2025-12-16T20:22:23.982Z,2025-12-17T19:09:05.024Z
58,CKB -  WhatsApp,502375399423446,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_502375399423446,ACTIVE,829.74,2024-09-03T21:36:48.000Z,468,2025-12-16T20:22:23.999Z,2025-12-17T19:09:05.050Z
59,[Kobe] Matheus e Leo,983454046761261,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_983454046761261,ACTIVE,117.16,2024-05-31T17:57:02.000Z,553,2025-12-16T20:22:24.015Z,2025-12-17T19:09:05.069Z
60,ACELERA AÍ,1097264364698859,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_1097264364698859,ACTIVE,0,2024-06-06T14:07:02.000Z,555,2025-12-16T20:22:24.028Z,2025-12-17T19:09:05.090Z
61,Âncora - Beijar Flor,332412673135627,1,SRM PROMOCAO DE EVENTOS E APOIO ADMINISTRATIVO LTDA.,act_332412673135627,ACTIVE,100.34,2024-07-04T20:54:56.000Z,490,2025-12-16T20:22:24.041Z,2025-12-17T19:09:05.111Z
62,São Pedro,811880224486436,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_811880224486436,ACTIVE,0,2024-08-27T21:20:04.000Z,473,2025-12-16T20:22:24.054Z,2025-12-17T19:09:05.127Z
63,[Kobe] Loja - Doc.Sync,633310692567364,1,BUDA CONCESSIONARIA DE MOTOS LTDA,act_633310692567364,ACTIVE,0,2024-12-06T21:13:10.000Z,372,2025-12-16T20:22:24.068Z,2025-12-17T19:09:05.149Z
64,[Kobe] Wallace,537327882402735,1,BUDA CONCESSIONARIA DE MOTOS LTDA,act_537327882402735,ACTIVE,0,2024-11-01T18:23:30.000Z,410,2025-12-16T20:22:24.082Z,2025-12-17T19:09:05.169Z
65,KAWASAKI KOBE MOTOS,530244023263857,1,BUDA CONCESSIONARIA DE MOTOS LTDA,act_530244023263857,ACTIVE,0,2024-11-07T13:51:15.000Z,399,2025-12-16T20:22:24.096Z,2025-12-17T19:09:05.190Z
66,Fernanda Soares,2115993945500073,1,FMS IMOVEIS LTDA,act_2115993945500073,ACTIVE,0,2025-02-11T20:51:10.000Z,286,2025-12-16T20:22:24.106Z,2025-12-17T19:09:05.218Z
67,[Kobe] Bia,1296525055020937,101,BUDA CONCESSIONARIA DE MOTOS LTDA,act_1296525055020937,CLOSED,0,2025-01-21T17:34:35.000Z,0,2025-12-16T20:22:24.119Z,2025-12-17T19:09:05.248Z
68,Âncora Concessionárias - Kobe,963371685754647,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_963371685754647,ACTIVE,0,2025-02-05T19:48:49.000Z,314,2025-12-16T20:22:24.130Z,2025-12-17T19:09:05.289Z
69,Fernanda Soares V2,636456552413846,1,FMS IMOVEIS LTDA,act_636456552413846,ACTIVE,0,2025-02-11T20:53:46.000Z,0,2025-12-16T20:22:24.142Z,2025-12-17T19:09:05.308Z
70,[Consórcio] Kawasaki,1144083164071887,1,BUDA CONCESSIONARIA DE MOTOS LTDA,act_1144083164071887,ACTIVE,0,2025-03-13T14:11:40.000Z,279,2025-12-16T20:22:24.157Z,2025-12-17T19:09:05.332Z
71,AKITUTES,1193188665906358,1,L.S. LTDA,act_1193188665906358,ACTIVE,0,2025-08-21T04:09:29.000Z,117,2025-12-16T20:22:24.170Z,2025-12-17T19:09:05.364Z
72,FUNGILOVERS,1136812294963084,1,,act_1136812294963084,ACTIVE,0,2025-08-18T12:55:39.000Z,0,2025-12-16T20:22:24.183Z,2025-12-17T19:09:05.395Z
73,PERTENZA,1365145881796446,1,TUDO MAIS PERSONALIZADOS LTDA,act_1365145881796446,ACTIVE,0,2025-09-25T12:53:11.000Z,83,2025-12-16T20:22:24.196Z,2025-12-17T19:09:05.418Z
74,Fungilovers,1446159869916625,1,SUPERALIMENTOS E ERVANARIA LTDA,act_1446159869916625,ACTIVE,394.65,2025-08-18T12:53:49.000Z,105,2025-12-16T20:22:24.206Z,2025-12-17T19:09:05.446Z
75,Valstark,752186964022451,1,VALSTARK INDUSTRIA LTDA,act_752186964022451,ACTIVE,0,2025-07-28T23:17:41.000Z,117,2025-12-16T20:22:24.218Z,2025-12-17T19:09:05.470Z
